river_name,ship_type,distance_bin_km,n_records,bin_width_km,density_records_per_10km
Rhine,Passenger Ship,300,481,10,481
Rhine,Passenger Ship,310,672,10,672
Rhine,Passenger Ship,320,868,10,868
Rhine,Passenger Ship,330,67,10,67
Rhine,Passenger Ship,340,35,10,35
Rhine,Passenger Ship,350,34,10,34
Rhine,Passenger Ship,360,292,10,292
Rhine,Passenger Ship,370,88,10,88
Rhine,Passenger Ship,380,33,10,33
Rhine,Passenger Ship,390,15,10,15
Rhine,Passenger Ship,400,131,10,131
Rhine,Passenger Ship,410,285,10,285
Rhine,Passenger Ship,420,65,10,65
Rhine,Passenger Ship,430,14,10,14
Rhine,Passenger Ship,440,10,10,10
Rhine,Passenger Ship,450,1,10,1
Rhine,Passenger Ship,460,12,10,12
Rhine,Passenger Ship,470,72,10,72
Rhine,Tanker,0,437,10,437
Rhine,Tanker,10,348,10,348
Rhine,Tanker,30,67,10,67
Rhine,Tanker,40,392,10,392
Rhine,Tanker,50,78,10,78
Rhine,Tanker,60,67,10,67
Rhine,Tanker,70,1638,10,1638
Rhine,Tanker,80,191,10,191
Rhine,Tanker,90,65,10,65
Rhine,Tanker,100,129,10,129
Rhine,Tanker,110,222,10,222
Rhine,Tanker,120,36,10,36
Rhine,Tanker,130,19,10,19
Rhine,Tanker,140,19,10,19
Rhine,Tanker,150,1,10,1
Rhine,Tanker,160,21,10,21
Rhine,Tanker,170,3,10,3
Rhine,Tanker,180,13,10,13
Rhine,Tanker,190,27,10,27
Rhine,Tanker,200,36,10,36
Rhine,Tanker,210,18,10,18
Rhine,Tanker,220,15,10,15
Rhine,Tanker,230,47,10,47
Rhine,Tanker,250,39,10,39
Rhine,Tanker,260,79,10,79
Rhine,Tanker,270,180,10,180
Rhine,Tanker,280,533,10,533
Rhine,Tanker,290,333,10,333
Rhine,Tanker,300,857,10,857
Rhine,Tanker,310,720,10,720
Rhine,Tanker,320,364,10,364
Rhine,Tanker,330,2243,10,2243
Rhine,Tanker,340,1319,10,1319
Rhine,Tanker,350,736,10,736
Rhine,Tanker,360,276,10,276
Rhine,Tanker,370,288,10,288
Rhine,Tanker,380,160,10,160
Rhine,Tanker,390,330,10,330
Rhine,Tanker,400,412,10,412
Rhine,Tanker,410,343,10,343
Rhine,Tanker,420,317,10,317
Rhine,Tanker,430,42,10,42
Rhine,Tanker,440,81,10,81
Rhine,Tanker,450,36,10,36
Rhine,Tanker,460,33,10,33
Rhine,Tanker,470,808,10,808
Rhine,Unknown,0,288,10,288
Rhine,Unknown,10,861,10,861
Rhine,Unknown,30,537,10,537
Rhine,Unknown,40,553,10,553
Rhine,Unknown,50,1458,10,1458
Rhine,Unknown,60,1342,10,1342
Rhine,Unknown,70,6065,10,6065
Rhine,Unknown,80,372,10,372
Rhine,Unknown,90,124,10,124
Rhine,Unknown,100,494,10,494
Rhine,Unknown,110,209,10,209
Rhine,Unknown,120,149,10,149
Rhine,Unknown,130,115,10,115
Rhine,Unknown,140,50,10,50
Rhine,Unknown,150,2,10,2
Rhine,Unknown,160,2,10,2
Rhine,Unknown,170,14,10,14
Rhine,Unknown,180,107,10,107
Rhine,Unknown,190,117,10,117
Rhine,Unknown,200,137,10,137
Rhine,Unknown,210,122,10,122
Rhine,Unknown,220,73,10,73
Rhine,Unknown,230,90,10,90
Rhine,Unknown,250,420,10,420
Rhine,Unknown,260,389,10,389
Rhine,Unknown,270,1188,10,1188
Rhine,Unknown,280,1473,10,1473
Rhine,Unknown,290,3641,10,3641
Rhine,Unknown,300,2702,10,2702
Rhine,Unknown,310,2809,10,2809
Rhine,Unknown,320,9707,10,9707
Rhine,Unknown,330,3745,10,3745
Rhine,Unknown,340,2580,10,2580
Rhine,Unknown,350,1613,10,1613
Rhine,Unknown,360,2456,10,2456
Rhine,Unknown,370,5051,10,5051
Rhine,Unknown,380,1189,10,1189
Rhine,Unknown,390,2200,10,2200
Rhine,Unknown,400,1505,10,1505
Rhine,Unknown,410,5166,10,5166
Rhine,Unknown,420,1730,10,1730
Rhine,Unknown,430,341,10,341
Rhine,Unknown,440,691,10,691
Rhine,Unknown,450,130,10,130
Rhine,Unknown,460,209,10,209
Rhine,Unknown,470,3561,10,3561
Rhine,Wing In Ground,0,74,10,74
Rhine,Wing In Ground,10,29,10,29
Rhine,Wing In Ground,30,49,10,49
Rhine,Wing In Ground,40,18,10,18
Rhine,Wing In Ground,50,13,10,13
Rhine,Wing In Ground,60,18,10,18
Rhine,Wing In Ground,70,259,10,259
Rhine,Wing In Ground,80,27,10,27
Rhine,Wing In Ground,90,9,10,9
Rhine,Wing In Ground,110,50,10,50
Rhine,Wing In Ground,120,1,10,1
Rhine,Wing In Ground,250,13,10,13
Rhine,Wing In Ground,260,1,10,1
Rhine,Wing In Ground,280,21,10,21
Rhine,Wing In Ground,290,23,10,23
Rhine,Wing In Ground,310,14,10,14
Rhine,Wing In Ground,320,41,10,41
Rhine,Wing In Ground,330,20,10,20
Rhine,Wing In Ground,340,424,10,424
Rhine,Wing In Ground,350,25,10,25
Rhine,Wing In Ground,360,20,10,20
Rhine,Wing In Ground,370,267,10,267
Rhine,Wing In Ground,380,17,10,17
Rhine,Wing In Ground,390,15,10,15
Rhine,Wing In Ground,400,15,10,15
Rhine,Wing In Ground,410,6,10,6
Rhine,Wing In Ground,440,8,10,8
Rhine,Wing In Ground,450,25,10,25
Rhine,Wing In Ground,470,6,10,6
Weser,Cargo,470,1,10,1
Weser,Cargo,500,1,10,1
Weser,Cargo,510,1,10,1
Weser,Cargo,520,3,10,3
Weser,Cargo,530,9,10,9
Weser,Cargo,540,31,10,31
Weser,Cargo,550,2069,10,2069
Weser,Cargo,560,9581,10,9581
Weser,Cargo,570,189,10,189
Weser,Cargo,580,1331,10,1331
Weser,Cargo,590,129,10,129
Weser,Cargo,600,2784,10,2784
Weser,Other,550,648,10,648
Weser,Other,580,633,10,633
Weser,Passenger Ship,550,1717,10,1717
Weser,Passenger Ship,560,959,10,959
Weser,Passenger Ship,570,851,10,851
Weser,Passenger Ship,580,1193,10,1193
Weser,Passenger Ship,600,199,10,199
Weser,Tanker,560,1819,10,1819
Weser,Tanker,570,25,10,25
Weser,Tanker,580,45,10,45
Weser,Tanker,590,26,10,26
Weser,Tanker,600,11,10,11
Weser,Unknown,490,9,10,9
Weser,Unknown,500,28,10,28
Weser,Unknown,510,6,10,6
Weser,Unknown,520,11,10,11
Weser,Unknown,530,18,10,18
Weser,Unknown,540,117,10,117
Weser,Unknown,550,2733,10,2733
Weser,Unknown,560,3567,10,3567
Weser,Unknown,570,785,10,785
Weser,Unknown,580,414,10,414
Weser,Unknown,600,989,10,989
